Date,GC=F,NEM
2018-08-01,1212.300048828125,30.920000076293945
2018-11-01,1319.699951171875,34.11000061035156
2019-02-01,1282.800048828125,31.059999465942383
2019-05-01,1426.0999755859375,36.52000045776367
2019-08-01,1511.4000244140625,39.72999954223633
2019-11-01,1582.9000244140625,45.060001373291016
2020-02-01,1684.199951171875,59.47999954223633
2020-05-01,1962.800048828125,69.19999694824219
2020-08-01,1877.4000244140625,62.84000015258789
2020-11-01,,59.599998474121094
2021-02-01,1767.300048828125,62.40999984741211
2021-05-01,1812.5999755859375,62.81999969482422
2021-08-01,,54.0
2021-11-01,1795.0,61.16999816894531
2022-02-01,1909.300048828125,72.8499984741211
2022-05-01,,45.279998779296875
2022-08-01,1635.9000244140625,42.31999969482422
2022-11-01,1929.5,52.93000030517578
2023-02-01,1990.0999755859375,47.400001525878906
2023-05-01,1970.5,42.91999816894531
2023-08-01,1918.699951171875,38.20000076293945
